Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Machine failure,TWF,HDF,PWF,OSF,RNF,Temperature_Difference,Power
M,298.1,308.6,1551,42.8,0,0,0,0,0,0,0,10.5,66382.79999999999
L,298.2,308.7,1408,46.3,3,0,0,0,0,0,0,10.5,65190.399999999994
L,298.1,308.5,1498,49.4,5,0,0,0,0,0,0,10.399999999999977,74001.2
L,298.2,308.6,1433,39.5,7,0,0,0,0,0,0,10.400000000000034,56603.5
L,298.2,308.7,1408,40,9,0,0,0,0,0,0,10.5,56320
M,298.1,308.6,1425,41.9,11,0,0,0,0,0,0,10.5,59707.5
L,298.1,308.6,1558,42.4,14,0,0,0,0,0,0,10.5,66059.2
L,298.1,308.6,1527,40.2,16,0,0,0,0,0,0,10.5,61385.4
M,298.3,308.7,1667,28.6,18,0,0,0,0,0,0,10.399999999999977,47676.200000000004
M,298.5,309,1741,28,21,0,0,0,0,0,0,10.5,48748
H,298.4,308.9,1782,23.9,24,0,0,0,0,0,0,10.5,42589.799999999996
H,298.6,309.1,1423,44.3,29,0,0,0,0,0,0,10.5,63038.899999999994
M,298.6,309.1,1339,51.1,34,0,0,0,0,0,0,10.5,68422.90000000001
M,298.6,309.2,1742,30,37,0,0,0,0,0,0,10.599999999999966,52260
L,298.6,309.2,2035,19.6,40,0,0,0,0,0,0,10.599999999999966,39886
L,298.6,309.2,1542,48.4,42,0,0,0,0,0,0,10.599999999999966,74632.8
M,298.6,309.2,1311,46.6,44,0,0,0,0,0,0,10.599999999999966,61092.6
M,298.7,309.2,1410,45.6,47,0,0,0,0,0,0,10.5,64296
H,298.8,309.2,1306,54.5,50,0,0,0,0,0,0,10.399999999999977,71177
M,298.9,309.3,1632,32.5,55,0,0,0,0,0,0,10.400000000000034,53040
H,298.9,309.3,1375,42.7,58,0,0,0,0,0,0,10.400000000000034,58712.50000000001
L,298.8,309.3,1450,44.8,63,0,0,0,0,0,0,10.5,64959.99999999999
M,298.9,309.3,1581,30.7,65,0,0,0,0,0,0,10.400000000000034,48536.7
L,299,309.4,1758,25.7,68,0,0,0,0,0,0,10.399999999999977,45180.6
M,299,309.4,1561,37.3,70,0,0,0,0,0,0,10.399999999999977,58225.299999999996
L,299,309.5,1861,23.3,73,0,0,0,0,0,0,10.5,43361.3
L,299.1,309.5,1512,39,75,0,0,0,0,0,0,10.399999999999977,58968
H,299.1,309.4,1811,24.6,77,0,0,0,0,0,0,10.299999999999955,44550.600000000006
L,299.1,309.4,1439,44.2,82,0,0,0,0,0,0,10.299999999999955,63603.8
L,299,309.4,1693,30.1,84,0,0,0,0,0,0,10.399999999999977,50959.3
M,299.1,309.5,1339,48.2,86,0,0,0,0,0,0,10.399999999999977,64539.8
L,299,309.4,1798,25.5,89,0,0,0,0,0,0,10.399999999999977,45849
L,299,309.4,1419,48.3,91,0,0,0,0,0,0,10.399999999999977,68537.7
L,298.9,309.3,1665,32.5,93,0,0,0,0,0,0,10.400000000000034,54112.5
M,298.8,309.1,1559,34.7,95,0,0,0,0,0,0,10.300000000000011,54097.3
M,298.8,309.2,1452,48.6,98,0,0,0,0,0,0,10.399999999999977,70567.2
M,298.9,309.2,1581,36.7,101,0,0,0,0,0,0,10.300000000000011,58022.700000000004
L,298.8,309.1,1439,39.2,104,0,0,0,0,0,0,10.300000000000011,56408.8
H,298.9,309.2,1379,50.7,106,0,0,0,0,0,0,10.300000000000011,69915.3
L,298.8,309.1,1350,52.5,111,0,0,0,0,0,0,10.300000000000011,70875
L,298.8,309.1,1362,45.4,113,0,0,0,0,0,0,10.300000000000011,61834.799999999996
L,298.8,309.1,1368,50.8,115,0,0,0,0,0,0,10.300000000000011,69494.4
M,298.8,309.1,1368,49.1,117,0,0,0,0,0,0,10.300000000000011,67168.8
H,298.8,309.2,1372,48.5,120,0,0,0,0,0,0,10.399999999999977,66542
M,298.8,309.1,1472,47.5,125,0,0,0,0,0,0,10.300000000000011,69920
L,298.8,309.1,1489,49.1,128,0,0,0,0,0,0,10.300000000000011,73109.90000000001
M,298.7,309,1843,25.8,130,0,0,0,0,0,0,10.300000000000011,47549.4
L,298.8,309.1,1418,46.3,133,0,0,0,0,0,0,10.300000000000011,65653.4
H,298.8,309.2,1425,53.9,135,0,0,0,0,0,0,10.399999999999977,76807.5
M,298.9,309.2,1412,44.1,140,0,0,0,0,0,0,10.300000000000011,62269.200000000004
L,298.9,309.1,2861,4.6,143,1,0,0,1,0,0,10.200000000000045,13160.599999999999
L,298.9,309.1,1383,54.9,145,0,0,0,0,0,0,10.200000000000045,75926.7
H,298.8,309,1497,43.8,147,0,0,0,0,0,0,10.199999999999989,65568.59999999999
L,298.7,309,1565,35.1,152,0,0,0,0,0,0,10.300000000000011,54931.5
L,298.7,309,1691,30.1,154,0,0,0,0,0,0,10.300000000000011,50899.100000000006
L,298.8,309.1,1512,40.7,156,0,0,0,0,0,0,10.300000000000011,61538.4
L,298.8,309.1,1477,42.4,158,0,0,0,0,0,0,10.300000000000011,62624.799999999996
L,298.8,309.1,1513,40.3,160,0,0,0,0,0,0,10.300000000000011,60973.899999999994
M,298.8,309,1661,29.5,162,0,0,0,0,0,0,10.199999999999989,48999.5
L,298.8,309.1,1378,54.4,165,0,0,0,0,0,0,10.300000000000011,74963.2
L,298.8,309.1,1393,52.6,167,0,0,0,0,0,0,10.300000000000011,73271.8
M,298.8,309,1592,38.2,169,0,0,0,0,0,0,10.199999999999989,60814.4
L,298.8,309,1829,22.9,172,0,0,0,0,0,0,10.199999999999989,41884.1
M,298.9,309,1812,25.9,174,0,0,0,0,0,0,10.100000000000023,46930.799999999996
L,299,309.1,1523,38.6,177,0,0,0,0,0,0,10.100000000000023,58787.8
L,299,309.1,1394,45.1,179,0,0,0,0,0,0,10.100000000000023,62869.4
M,298.9,308.9,1679,28.7,181,0,0,0,0,0,0,10,48187.299999999996
H,298.8,308.9,1466,44.1,184,0,0,0,0,0,0,10.099999999999966,64650.6
L,298.8,308.9,1527,32.4,189,0,0,0,0,0,0,10.099999999999966,49474.799999999996
L,298.9,309,1410,65.7,191,1,0,0,1,1,0,10.100000000000023,92637
M,298.9,309,1924,22.6,193,0,0,0,0,0,0,10.100000000000023,43482.4
L,298.9,309.1,1452,45.5,196,0,0,0,0,0,0,10.200000000000045,66066
L,298.9,309.1,1369,44.4,198,0,0,0,0,0,0,10.200000000000045,60783.6
L,299,309.1,1592,35,200,0,0,0,0,0,0,10.100000000000023,55720
L,298.9,309,1601,32.3,202,0,0,0,0,0,0,10.100000000000023,51712.299999999996
L,298.8,308.9,1379,46.7,204,0,0,0,0,0,0,10.099999999999966,64399.3
L,298.8,308.9,1461,47.9,206,0,0,0,0,0,0,10.099999999999966,69981.9
L,298.8,308.9,1455,41.3,208,1,1,0,0,0,0,10.099999999999966,60091.49999999999
L,298.8,308.9,1398,51.5,0,0,0,0,0,0,0,10.099999999999966,71997
L,298.8,308.9,1402,37.9,2,0,0,0,0,0,0,10.099999999999966,53135.799999999996
H,298.8,308.8,1445,49.9,4,0,0,0,0,0,0,10,72105.5
L,298.9,308.9,1450,47.5,9,0,0,0,0,0,0,10,68875
L,298.9,308.9,1453,40.8,11,0,0,0,0,0,0,10,59282.399999999994
L,299,309,1469,40.1,13,0,0,0,0,0,0,10,58906.9
L,298.9,308.9,1422,47.6,15,0,0,0,0,0,0,10,67687.2
M,299,309,1804,26.8,17,0,0,0,0,0,0,10,48347.200000000004
H,299,309,1436,43.9,20,0,0,0,0,0,0,10,63040.4
L,299,309,1544,31.8,25,0,0,0,0,0,0,10,49099.200000000004
M,299,309,1419,45.2,27,0,0,0,0,0,0,10,64138.8
M,298.9,308.9,1487,39.5,30,0,0,0,0,0,0,10,58736.5
L,298.9,308.9,1753,25.8,33,0,0,0,0,0,0,10,45227.4
L,298.9,308.9,1830,24.9,35,0,0,0,0,0,0,10,45567
M,298.9,308.9,1727,27.1,37,0,0,0,0,0,0,10,46801.700000000004
L,299.1,309,1450,43,40,0,0,0,0,0,0,9.899999999999977,62350
L,299,308.9,1622,31.9,42,0,0,0,0,0,0,9.899999999999977,51741.799999999996
M,299,309,1351,52.2,44,0,0,0,0,0,0,10,70522.2
M,299,309,1575,35.3,47,0,0,0,0,0,0,10,55597.49999999999
M,298.9,308.9,1750,29.9,50,0,0,0,0,0,0,10,52325
L,298.9,308.8,1529,32.7,53,0,0,0,0,0,0,9.900000000000034,49998.3
L,298.8,308.8,1523,44.4,55,0,0,0,0,0,0,10,67621.2
L,298.8,308.9,1852,25,57,0,0,0,0,0,0,10.099999999999966,46300
L,298.8,308.8,1991,20.7,59,0,0,0,0,0,0,10,41213.7
L,298.8,308.8,1555,40.6,61,0,0,0,0,0,0,10,63133
M,298.8,308.8,1441,40.5,63,0,0,0,0,0,0,10,58360.5
L,298.8,308.7,1450,43.4,66,0,0,0,0,0,0,9.899999999999977,62930
L,298.8,308.7,1591,31.1,68,0,0,0,0,0,0,9.899999999999977,49480.100000000006
L,298.8,308.7,1445,48.5,70,0,0,0,0,0,0,9.899999999999977,70082.5
M,298.8,308.8,1497,46.8,72,0,0,0,0,0,0,10,70059.59999999999
H,298.9,308.8,1621,32.7,75,0,0,0,0,0,0,9.900000000000034,53006.700000000004
L,298.9,308.7,1572,34.1,80,0,0,0,0,0,0,9.800000000000011,53605.200000000004
L,298.8,308.6,1872,22.5,82,0,0,0,0,0,0,9.800000000000011,42120
H,298.7,308.6,1499,43.5,84,0,0,0,0,0,0,9.900000000000034,65206.5
M,298.8,308.7,1498,39.5,89,0,0,0,0,0,0,9.899999999999977,59171
M,298.8,308.6,1486,41.9,92,0,0,0,0,0,0,9.800000000000011,62263.4
L,298.8,308.6,1680,29.4,95,0,0,0,0,0,0,9.800000000000011,49392
L,298.8,308.6,1431,45.7,97,0,0,0,0,0,0,9.800000000000011,65396.700000000004
L,298.9,308.7,1564,34.1,99,0,0,0,0,0,0,9.800000000000011,53332.4
L,298.8,308.6,1599,33,101,0,0,0,0,0,0,9.800000000000011,52767
M,298.8,308.6,1707,28.1,103,0,0,0,0,0,0,9.800000000000011,47966.700000000004
L,298.7,308.5,1467,40.7,106,0,0,0,0,0,0,9.800000000000011,59706.9
L,298.9,308.7,1433,44.7,108,0,0,0,0,0,0,9.800000000000011,64055.100000000006
L,298.9,308.7,1558,41.2,110,0,0,0,0,0,0,9.800000000000011,64189.600000000006
L,299,308.8,1310,50.7,112,0,0,0,0,0,0,9.800000000000011,66417
L,298.9,308.7,1546,43.4,114,0,0,0,0,0,0,9.800000000000011,67096.4
L,298.9,308.7,1727,29.4,116,0,0,0,0,0,0,9.800000000000011,50773.799999999996
L,298.9,308.6,1560,32.2,118,0,0,0,0,0,0,9.700000000000045,50232.00000000001
L,299,308.6,1329,60.5,120,0,0,0,0,0,0,9.600000000000023,80404.5
L,298.9,308.6,1413,46.5,122,0,0,0,0,0,0,9.700000000000045,65704.5
L,299,308.6,1587,38.6,124,0,0,0,0,0,0,9.600000000000023,61258.200000000004
L,298.9,308.5,1559,34.3,126,0,0,0,0,0,0,9.600000000000023,53473.7
L,298.8,308.4,1473,41.1,128,0,0,0,0,0,0,9.599999999999966,60540.3
L,298.8,308.4,1737,27.7,130,0,0,0,0,0,0,9.599999999999966,48114.9
M,298.7,308.4,1441,43.2,132,0,0,0,0,0,0,9.699999999999989,62251.200000000004
M,298.7,308.4,1430,49.6,135,0,0,0,0,0,0,9.699999999999989,70928
L,298.8,308.4,1369,53,138,0,0,0,0,0,0,9.599999999999966,72557
M,298.8,308.5,1711,28.5,140,0,0,0,0,0,0,9.699999999999989,48763.5
H,298.7,308.5,1420,45.7,143,0,0,0,0,0,0,9.800000000000011,64894.00000000001
L,298.7,308.6,1297,55.3,148,0,0,0,0,0,0,9.900000000000034,71724.09999999999
H,298.8,308.6,1449,49.4,150,0,0,0,0,0,0,9.800000000000011,71580.59999999999
L,298.8,308.6,1268,55.8,155,0,0,0,0,0,0,9.800000000000011,70754.4
L,298.8,308.6,1511,36.1,157,0,0,0,0,0,0,9.800000000000011,54547.1
L,298.7,308.5,1544,35.2,159,0,0,0,0,0,0,9.800000000000011,54348.8
M,298.6,308.4,1778,28.2,161,0,0,0,0,0,0,9.799999999999955,50139.6
H,298.6,308.4,1407,50.5,164,0,0,0,0,0,0,9.799999999999955,71053.5
M,298.6,308.4,1391,42.4,169,0,0,0,0,0,0,9.799999999999955,58978.4
L,298.5,308.4,1513,33.6,172,0,0,0,0,0,0,9.899999999999977,50836.8
H,298.5,308.4,1612,36.1,174,0,0,0,0,0,0,9.899999999999977,58193.200000000004
L,298.4,308.4,1515,40.1,179,0,0,0,0,0,0,10,60751.5
M,298.3,308.3,1379,48,181,0,0,0,0,0,0,10,66192
L,298.4,308.3,1473,39.9,184,0,0,0,0,0,0,9.900000000000034,58772.7
L,298.4,308.3,1422,42.7,186,0,0,0,0,0,0,9.900000000000034,60719.4
M,298.4,308.2,1463,37.6,188,0,0,0,0,0,0,9.800000000000011,55008.8
M,298.4,308.2,1584,41,191,0,0,0,0,0,0,9.800000000000011,64944
L,298.4,308.2,1850,27,194,0,0,0,0,0,0,9.800000000000011,49950
L,298.4,308.2,1528,36.2,196,0,0,0,0,0,0,9.800000000000011,55313.600000000006
H,298.4,308.2,1987,19.8,198,0,0,0,0,0,0,9.800000000000011,39342.6
M,298.4,308.1,1495,46,203,0,0,0,0,0,0,9.700000000000045,68770
H,298.4,308.2,1478,43.5,206,0,0,0,0,0,0,9.800000000000011,64293
M,298.4,308.2,1499,40,211,0,0,0,0,0,0,9.800000000000011,59960
L,298.4,308.2,1471,47,214,0,0,0,0,0,0,9.800000000000011,69137
L,298.4,308.2,1282,60.7,216,1,0,0,0,1,0,9.800000000000011,77817.40000000001
L,298.3,308.1,1412,52.3,218,1,0,0,0,1,0,9.800000000000011,73847.59999999999
L,298.3,308.1,1586,35.5,0,0,0,0,0,0,0,9.800000000000011,56303
M,298.4,308.2,1468,43.8,2,0,0,0,0,0,0,9.800000000000011,64298.399999999994
M,298.5,308.3,1440,43.6,5,0,0,0,0,0,0,9.800000000000011,62784
L,298.5,308.4,1733,26,8,0,0,0,0,0,0,9.899999999999977,45058
H,298.4,308.2,1612,32.6,10,0,0,0,0,0,0,9.800000000000011,52551.200000000004
H,298.4,308.3,1458,42.9,15,0,0,0,0,0,0,9.900000000000034,62548.2
L,298.4,308.3,1433,62.3,20,1,0,0,1,0,0,9.900000000000034,89275.9
L,298.4,308.3,1318,59.1,22,0,0,0,0,0,0,9.900000000000034,77893.8
M,298.4,308.2,1610,35,24,0,0,0,0,0,0,9.800000000000011,56350
L,298.2,308.1,1462,50.8,27,0,0,0,0,0,0,9.900000000000034,74269.59999999999
M,298.1,308,1924,20.8,29,0,0,0,0,0,0,9.899999999999977,40019.200000000004
M,298.2,308,1591,33.7,32,0,0,0,0,0,0,9.800000000000011,53616.700000000004
L,298.2,308.1,1306,58.3,35,0,0,0,0,0,0,9.900000000000034,76139.8
L,298.2,308.1,1382,43.5,37,0,0,0,0,0,0,9.900000000000034,60117
L,298.2,308.1,1618,34.7,39,0,0,0,0,0,0,9.900000000000034,56144.600000000006
L,298.2,308.2,1988,21.4,41,0,0,0,0,0,0,10,42543.2
L,298.2,308.2,1436,50.2,43,0,0,0,0,0,0,10,72087.2
L,298.2,308.3,1304,49.8,45,0,0,0,0,0,0,10.100000000000023,64939.2
L,298.2,308.3,1475,49.9,47,0,0,0,0,0,0,10.100000000000023,73602.5
H,298.2,308.3,1824,24.2,49,0,0,0,0,0,0,10.100000000000023,44140.799999999996
M,298.1,308.2,1342,48.1,54,0,0,0,0,0,0,10.099999999999966,64550.200000000004
L,298.1,308.2,1485,40.7,57,0,0,0,0,0,0,10.099999999999966,60439.50000000001
L,298.2,308.2,1667,30.6,59,0,0,0,0,0,0,10,51010.200000000004
L,298.2,308.2,1446,38.2,61,0,0,0,0,0,0,10,55237.200000000004
L,298.1,308.3,1301,56,63,0,0,0,0,0,0,10.199999999999989,72856
L,298.2,308.4,1379,43.1,65,0,0,0,0,0,0,10.199999999999989,59434.9
L,298.3,308.5,1606,33.6,67,0,0,0,0,0,0,10.199999999999989,53961.600000000006
M,298.3,308.4,1539,43.4,69,0,0,0,0,0,0,10.099999999999966,66792.59999999999
L,298.2,308.4,1477,49.9,72,0,0,0,0,0,0,10.199999999999989,73702.3
L,298.2,308.4,1666,34.6,74,0,0,0,0,0,0,10.199999999999989,57643.600000000006
H,298.2,308.4,1398,51.8,76,0,0,0,0,0,0,10.199999999999989,72416.4
H,298.2,308.4,1678,34.6,81,0,0,0,0,0,0,10.199999999999989,58058.8
M,298.2,308.5,2678,10.7,86,1,0,0,1,0,0,10.300000000000011,28654.6
L,298.3,308.5,1453,42.9,89,0,0,0,0,0,0,10.199999999999989,62333.7
H,298.3,308.6,1432,49.5,91,0,0,0,0,0,0,10.300000000000011,70884
M,298.4,308.6,1527,40.9,96,0,0,0,0,0,0,10.200000000000045,62454.299999999996
L,298.4,308.7,1588,35,99,0,0,0,0,0,0,10.300000000000011,55580
L,298.4,308.6,1433,47.1,101,0,0,0,0,0,0,10.200000000000045,67494.3
L,298.4,308.6,1609,35,103,0,0,0,0,0,0,10.200000000000045,56315
L,298.3,308.5,1575,41.2,105,0,0,0,0,0,0,10.199999999999989,64890.00000000001
M,298.4,308.5,1636,35.7,107,0,0,0,0,0,0,10.100000000000023,58405.200000000004
L,298.4,308.5,1490,37.9,110,0,0,0,0,0,0,10.100000000000023,56471
L,298.4,308.5,1741,32.8,112,0,0,0,0,0,0,10.100000000000023,57104.799999999996
M,298.5,308.6,1344,53,114,0,0,0,0,0,0,10.100000000000023,71232
L,298.5,308.7,1609,35.3,117,0,0,0,0,0,0,10.199999999999989,56797.7
M,298.4,308.7,1421,60.7,119,1,0,0,1,0,0,10.300000000000011,86254.7
L,298.4,308.6,1591,36.7,122,0,0,0,0,0,0,10.200000000000045,58389.700000000004
L,298.4,308.6,1477,44,124,0,0,0,0,0,0,10.200000000000045,64988
L,298.4,308.7,1523,36.1,126,0,0,0,0,0,0,10.300000000000011,54980.3
L,298.5,308.7,1575,33.9,128,0,0,0,0,0,0,10.199999999999989,53392.5
H,298.4,308.7,1344,52.9,130,0,0,0,0,0,0,10.300000000000011,71097.59999999999
L,298.4,308.7,1386,44.9,135,0,0,0,0,0,0,10.300000000000011,62231.4
M,298.3,308.6,1589,37.1,137,0,0,0,0,0,0,10.300000000000011,58951.9
L,298.3,308.6,1548,40.3,140,0,0,0,0,0,0,10.300000000000011,62384.399999999994
L,298.3,308.6,1499,38.3,142,0,0,0,0,0,0,10.300000000000011,57411.7
L,298.3,308.5,1664,31.6,144,0,0,0,0,0,0,10.199999999999989,52582.4
